City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,san luis de la loma,17.2706,-100.8939,30.24,55,62,3.61,MX,1714931405
223,al qaryatayn,34.2296,37.2407,16.46,37,22,5.64,SY,1714931408
224,sorong,-0.8833,131.25,26.9,81,99,1.39,ID,1714931410
225,kargasok,59.0556,80.8572,2.61,68,54,6.17,RU,1714931412
226,bathsheba,13.2167,-59.5167,32.34,66,20,7.72,BB,1714931415
227,pisco,-13.7,-76.2167,20.57,88,75,4.12,PE,1714931417
228,buala,-8.145,159.5921,27.58,82,100,1.59,SB,1714931419
229,ust-tsilma,65.441,52.1498,-8.55,96,53,1.34,RU,1714931421
230,gordon,34.5004,-84.8666,27.82,74,40,2.06,US,1714931307
231,kuandian,40.7286,124.7847,11.04,99,100,1.46,CN,1714931425
232,jamestown,42.097,-79.2353,17.06,96,100,4.12,US,1714931427
233,sogndal,61.2283,7.1003,21.21,39,0,1.03,NO,1714931429
234,el rama,12.1596,-84.2195,36.37,33,99,2.84,NI,1714931431
235,st. john's,47.5649,-52.7093,5.71,78,100,5.14,CA,1714931349
236,jackson,42.4165,-122.8345,9.66,70,100,1.79,US,1714931326
237,acajutla,13.5928,-89.8275,30.15,68,14,4.7,SV,1714931439
238,tralee,52.2704,-9.7026,15.14,67,0,5.66,IE,1714931441
239,puerto deseado,-47.7503,-65.8938,6.39,43,27,3.89,AR,1714931443
240,slave lake,55.2834,-114.769,5.99,75,100,5.14,CA,1714931447
241,harper,4.375,-7.7169,29.04,73,98,2.9,LR,1714931449
242,abadan,30.3392,48.3043,29.97,32,0,3.09,IR,1714931451
243,tindouf,27.6711,-8.1474,36.25,4,0,3.6,DZ,1714931453
244,taltal,-25.4,-70.4833,18.84,63,64,1.71,CL,1714931173
245,dawei,14.0833,98.2,25.72,89,3,0.82,MM,1714931457
246,oum hadjer,13.2954,19.6966,36.44,8,0,2.0,TD,1714931459
247,anadyr,64.75,177.4833,-10.72,73,0,6.0,RU,1714931461
248,rakops,-21.0167,24.3333,22.92,31,0,3.01,BW,1714931463
249,georgetown,5.4112,100.3354,28.96,74,20,1.03,MY,1714931465
250,college,64.8569,-147.8028,9.49,54,40,2.06,US,1714931206
251,happy valley-goose bay,53.3168,-60.3315,19.17,39,75,6.17,CA,1714931469
252,jimo,36.3897,120.4622,12.88,88,20,4.0,CN,1714931471
253,scottburgh,-30.2867,30.7532,22.31,80,55,1.06,ZA,1714931473
254,hohhot,40.8106,111.6522,11.62,76,0,2.0,CN,1714931475
255,broome,42.2506,-75.833,12.16,94,100,5.36,US,1714931477
256,houghton,47.1219,-88.569,16.49,54,0,8.75,US,1714931474
257,copala,16.65,-98.9833,30.56,54,29,3.85,MX,1714931482
258,villa gesell,-37.2639,-56.973,20.03,93,100,2.15,AR,1714931316
259,castillos,-34.1667,-53.8333,21.51,87,99,2.51,UY,1714931486
